"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"AD439vx","I think anyone who maybe has no strong calling to any particular field or career and just wants to live a good life - someone who maybe has minimal education and a normal 9-5. Life is getting harder and harder to live due to no fault of their own but rather to our hyper-capitalist hellscape we live in. This will disproportionally effect minority communities and plays a part of all the woes we see around the country today.",30,"Low wage","Increased cost of living","Corporate takeover of all aspects of life","Government",NA,4,2.4,1.5,6.75,1,3.16666666666667,2,3,5,1,1,7,6,7,7,1,1,2,3,1,1,5,5,4,2,2,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,3,6,2,7,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,30,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,"negative","economic hardship; minority communities; capitalism",7,"economic",1,0,"hyper-capitalist system","The response highlights economic difficulties and blames the capitalist system for making life harder, especially for minority communities.",4,1,0,1,0,0,0,"economic",NA
"WG407wu","People with mental health issues but with no insurance",74,"Ignored","Belittled","Stigmatized","Berated","Underfunded",1,NA,2.5,4.75,1,2.33333333333333,NA,NA,NA,NA,NA,6,6,3,4,1,3,3,4,1,3,4,2,1,2,3,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,2,2,2,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,73,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,0,1,"negative","mental health; insurance; healthcare access",8,"social",0,0,NA,"The lack of insurance for mental health issues suggests a significant barrier to accessing necessary care, indicating an objective condition of being left behind.",5,0,1,0.25,0.25,0,0.5,"other",NA
"WN429rs","I think that the current administration is making a lot of people feel left behind. On my own block, there are academics who feel attacked, married gay couples who feel like their rights are threatened, two immigrant families who are afraid of being deported (even though they are up to date on their paperwork and in the legal process to get citizenship), and union laborers who feel that, while some of their coworkers like Trump, that there is a systemic attack against unions on the way. None of these people have seen their grocery bills go down. None of these people have seen their utility or property taxes go down. There is a lot of pain and nothing good to show for it. Of course, there is the one neighbor flying a Trump flag who feels empowered in his hate and distain for people. He feels like he is being seen and his entitled attitude is now somehow validated. But, if we keep things going like they are, these angry people will be allowing our laws and nation to be destroyed for the price of feeling better than their neighbor.",50,"Their bills are high.","Their freedoms are being challenged.","They are fearful.",NA,NA,3,2,2.83333333333333,3.75,1,5,2,2,2,2,2,6,3,2,4,2,2,3,4,3,3,5,5,5,5,5,5,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,5,5,1,6,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,47,"woman","White","PHD","$80,001-$100,000",5,6,1,0,0,1,0,"negative","administration; rights; immigration; unions; cost of living",8,"political",1,1,"current administration","The response highlights feelings of being left behind due to political actions affecting various groups, with a focus on perceived threats and systemic issues.",3,0,0,0.333333333333333,0.666666666666667,0,0,"economic",NA
"ID744yz","i think the people left behind in America are the poor, uneduated, minority non english people. Those born into the lower social and income classes are the ones left behind because it is hard to get out of the class into whic you are born.",11,"no education","no money","social stigmas","cost of living in USA","i",1,1,1.66666666666667,5.5,1,3,1,1,1,1,1,6,6,4,6,1,1,2,4,1,1,5,4,5,1,2,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,6,2,NA,6,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,58,"woman","White","4yearColl","$160,001-$180,000",9,4,1,0,0,1,0,"negative","poverty; education; minorities; social mobility",8,"social",0,1,NA,"The response highlights the challenges faced by poor, uneducated, minority, and non-English speaking individuals in improving their social and economic status.",5,0,1,0.4,0.2,0.2,0.2,"economic",NA
"MP667bz","While there are obviously some exceptions, the kind of people that are generally left behind are the types of people with poor work ethic and are unwilling or unable to help themselves.",11,"The can't make ends meet financially","Struggle for housing","Struggle for employment","Defeatist or victim mentality",NA,1,2,2.16666666666667,4.25,1,1.5,2,2,2,2,2,3,6,3,5,1,2,3,4,1,2,4,1,1,1,1,1,"I did not vote","J. D. Vance (Republican Party)",5,2,1,6,1,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,42,"man","White","4yearColl","$160,001-$180,000",9,4,1,1,0,0,1,"negative","work ethic; self-help",5,"social",0,1,NA,"The response suggests that people are left behind due to personal attributes like poor work ethic, implying a social perspective.",4,0,0,0.5,0.25,0.25,0,"economic",NA
"PC452hr","Lower income and middle class people are being left behind in the US today.",50,"Income inequality","gender and sexual orientation discrimination","eroding of civil rights","access to healthcare","limits on voting rights",3,1,2.16666666666667,5,1,2.83333333333333,1,1,1,1,1,6,5,4,5,1,2,2,4,1,3,5,1,2,4,3,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",2,5,5,3,5,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,57,"man","Asian","MA","$120,001-$140,000",7,5,0,1,0,0,1,"negative","income inequality; middle class; economic disparity",7,"economic",0,0,NA,"The statement highlights economic disparity affecting lower and middle class people in the US.",5,1,0,1,0,0,0,"social",NA
"BZ761sk","People with low income and low-paying low-prestige jobs. Undocumented immigrants who are being unfairly persecuted but Maggats. Documented immigrants who are being persecuted by Maggats. Elderly who have no family or support. Minorities who face discrimination. Those without education to get ahead. People who ignorantly voted for the Orange Hitler who are now surprised that not only does he not care about them, but he's taking away rights and income.",45,"low income","low social status","lack of education","discrimination","T***p and his ilk",2,7,2.33333333333333,6,1,3.16666666666667,7,7,7,7,7,7,6,5,6,2,1,3,4,2,2,4,1,5,2,4,3,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,4,4,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,69,"man","White","MA","$20,001-$40,000",2,5,1,1,0,1,0,"negative","low income; undocumented immigrants; discrimination; elderly support; education; political disillusionment",8,"social",1,1,"Maggats, political leaders","The response highlights feelings of persecution and neglect among various groups, with specific blame placed on political figures and supporters.",5,0,1,0.4,0.2,0.2,0.2,"social","I never thought I’d answer those questions about what Democrats should do the way I did, but considering that Republicans are selfishly and destructively ignoring those rules it’s gloves off, anything goes. Civil war here we come. Thank you, President Cheeto. 
I am dead serious, not sarcastic. 
"
"QL817iz","I think that most women are feeling left behind, they have people in the government making decisions on what they are allowed to do with their bodies with out their consent.",78,"Abortion","Lower wages","Workplace discrimination",NA,NA,1,1,2.16666666666667,6.25,1,2.33333333333333,1,1,1,1,1,7,7,4,7,1,2,3,4,1,2,4,2,1,5,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",3,3,4,2,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,34,"man","White","GED","$100,001-$120,000",6,2,1,1,0,0,1,"negative","women's rights; government decisions; bodily autonomy",8,"political",1,1,"people in the government","The response highlights women's feelings of being left behind due to government decisions impacting their bodily autonomy.",3,0,1,0.666666666666667,0,0,0.333333333333333,"economic","None"
"OL727mf","People who are left behind are those who had roles in an older America whose jobs have now been replaced - whether in manufacturing, due to outsourcing and automation, or in industries like coal mining, that have become obsolete in the twenty-first century.",30,"Obsolete","Unemployed","Irrelevent",NA,NA,1,2.2,3.16666666666667,1.75,0,1.5,1,7,1,1,1,3,1,1,2,2,3,3,4,3,4,3,1,1,1,1,2,"Kamala Harris (Democratic Party)","Why are these the options",4,7,1,2,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,27,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,"negative","outsourcing; automation; manufacturing; coal mining",8,"economic",1,0,"outsourcing and automation","The response highlights economic changes that have led to job losses in certain industries, implying a systemic issue.",3,0,1,0,0.333333333333333,0,0.666666666666667,"other",NA
"KV213ic","The person would be someone who is unmotivated and getting nowhere in life. The person is highly influential and not able to come up with original ideas.",21,"Money","Housing","Affordability",NA,NA,1,2.8,2.33333333333333,4.5,1,1.16666666666667,4,2,2,3,3,3,5,5,5,3,2,3,3,2,1,2,1,1,1,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",6,2,1,4,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,64,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,1,0,0,"negative","motivation; creativity",5,"social",0,1,NA,"The response describes a personal feeling of being unmotivated and lacking originality, indicating a social issue.",3,0,1,0.666666666666667,0,0,0.333333333333333,"economic",NA
