"PID","left_behind_score"
"AA715zw",1
"AD439vx",1
"AD523bk",5
"AG956kd",1
"AH576xr",4
"AL002ii",4
"AL026ij",1
"AS180pr",1
"AW264th",1
"AX381he",1
"BK623mw",1
"BP912xe",4
"BR518sm",1
"BV276sc",1
"BZ761sk",1
"CD336dt",5
"CF151za",1
"CH849iz",1
"CQ071na",4
"CX593cx",1
"DF959du",4
"DU707ha",1
"EF949eu",3
"EG328od",1
"EG942sk",1
"EM823gs",3
"ES187sd",2
"EU378vk",5
"EV894kb",1
"FB269qp",1
"FD353dy",1
"FF403ay",1
"FM963as",1
"FR309tc",1
"FS264fn",4
"FX295ed",1
"GA854dt",1
"GB372pe",1
"GJ065zj",1
"GL326ov",4
"GS484yn",5
"GU002pb",1
"GU968le",1
"HF012at",1
"HF412fa",1
"HF936jp",1
"HG721hv",3
"HN164qk",1
"HN633am",1
"HQ389yr",1
"HS729np",1
"HT168ob",1
"HW199xg",4
"HX142vt",3
"ID744yz",1
"ID780ay",1
"IE967wo",1
"IF035am",1
"IF251av",1
"IG147ld",4
"IL097lz",3
"IQ592yq",1
"IS771mw",1
"IW068ln",1
"IY384yq",1
"JR725cm",5
"JS969qn",1
"JU593vn",1
"JW366xt",1
"JW644wh",1
"JW884jb",1
"JX174vj",1
"JZ255cj",1
"KB305ap",1
"KB341xj",1
"KD900dx",4
"KG326cn",1
"KH029xt",3
"KL355qd",2
"KM462yb",5
"KR361he",1
"KS799fm",1
"KV213ic",1
"KV604bb",5
"KW186li",1
"KX476zy",5
"KX827gq",1
"LA424lb",1
"LD857oy",1
"LF665gs",1
"LG516ve",1
"LG535zl",5
"LI391ex",2
"LJ535me",1
"LQ622ht",3
"LR209uv",1
"LW509oi",1
"LZ290gf",5
"MB015ck",1
"MF540un",4
"MN780ky",1
"MP667bz",1
"MU681vu",5
"MZ800ys",1
"MZ985gj",1
"NC854jn",4
"ND250qs",1
"NI842eh",1
"NK673ap",1
"NM526dg",1
"NU629wr",1
"NY746el",1
"NZ064lp",4
"OD372si",1
"OD524if",1
"OD665ds",1
"OL727mf",1
"OP440di",1
"OR935po",1
"PA561cu",1
"PC452hr",3
"PJ842kp",1
"PR158jt",4
"PW788dr",5
"QB803mz",1
"QC771vv",1
"QD250oo",1
"QD618yk",1
"QH713sj",1
"QK826lr",1
"QL817iz",3
"QQ652ox",1
"QS881bk",1
"QW635bx",1
"QY965yz",1
"QZ918wy",1
"RD417ye",1
"RI056sc",3
"RI475ia",3
"RJ549rq",1
"RS563ol",1
"RW581ij",5
"RX386xi",1
"RY150ge",4
"SE037iv",4
"SI559oz",4
"SJ147jm",1
"SK007je",4
"SL728en",1
"SQ610wj",4
"SS750pr",1
"SZ860xq",5
"TA972nt",1
"TE565rz",1
"TG401vr",3
"TH058vf",1
"TW529uz",1
"TX426wb",1
"TY681ro",4
"UB905pa",3
"UK303lv",1
"UN666gq",4
"US761jk",1
"UW857qs",3
"UY005ie",1
"VB292iw",5
"VC480ol",4
"VC841lr",1
"VG803te",1
"VL477ym",1
"VX639qp",3
"WB378xn",1
"WD608tr",1
"WG407wu",4
"WJ238ot",5
"WN429rs",1
"WX417rn",1
"XA970sq",4
"XE154sb",5
"XJ694oh",1
"XJ769cc",3
"XQ348or",1
"XS566ox",3
"XX769bl",3
"YA285hc",5
"YB397tb",4
"YB510qi",4
"YW134br",3
"YZ016kr",1
"ZB901pg",1
"ZC499qj",1
"ZG902pj",1
"ZH300de",1
"ZH303ej",3
"ZH364be",1
"ZK181yh",4
"ZQ679tg",1
"ZS865le",3
"ZT686ly",1
"ZW808xn",3
"ZX634gx",4
