"PID","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale"
"AD439vx","negative","economic hardship; minority communities; capitalism",7,"economic",1,0,"hyper-capitalist system","The response highlights economic difficulties and blames the capitalist system for making life harder, especially for minority communities."
"WG407wu","negative","mental health; insurance; healthcare access",8,"social",0,0,"","The lack of insurance for mental health issues suggests a significant barrier to accessing necessary care, indicating an objective condition of being left behind."
"WN429rs","negative","administration; rights; immigration; unions; cost of living",8,"political",1,1,"current administration","The response highlights feelings of being left behind due to political actions affecting various groups, with a focus on perceived threats and systemic issues."
"ID744yz","negative","poverty; education; minorities; social mobility",8,"social",0,1,"","The response highlights the challenges faced by poor, uneducated, minority, and non-English speaking individuals in improving their social and economic status."
"MP667bz","negative","work ethic; self-help",5,"social",0,1,"","The response suggests that people are left behind due to personal attributes like poor work ethic, implying a social perspective."
"PC452hr","negative","income inequality; middle class; economic disparity",7,"economic",0,0,"","The statement highlights economic disparity affecting lower and middle class people in the US."
"BZ761sk","negative","low income; undocumented immigrants; discrimination; elderly support; education; political disillusionment",8,"social",1,1,"Maggats, political leaders","The response highlights feelings of persecution and neglect among various groups, with specific blame placed on political figures and supporters."
"QL817iz","negative","women's rights; government decisions; bodily autonomy",8,"political",1,1,"people in the government","The response highlights women's feelings of being left behind due to government decisions impacting their bodily autonomy."
"OL727mf","negative","outsourcing; automation; manufacturing; coal mining",8,"economic",1,0,"outsourcing and automation","The response highlights economic changes that have led to job losses in certain industries, implying a systemic issue."
"KV213ic","negative","motivation; creativity",5,"social",0,1,"","The response describes a personal feeling of being unmotivated and lacking originality, indicating a social issue."
"LD857oy","negative","poverty; unemployment; transportation; food insecurity",8,"economic",0,1,"","The response highlights the feelings of being left behind due to economic hardships such as low income and lack of transportation."
"YB397tb","negative","DEI practices; rising costs; middle class struggles",7,"economic",0,1,"","The response highlights feelings of being left behind due to the rollback of DEI practices and rising costs impacting the middle class."
"YW134br","negative","economic stagnation; automation; education defunding; social issues",8,"economic",1,1,"political and commercial elite class","The response highlights feelings of being left behind due to economic and social challenges, with blame placed on elites."
"LG535zl","negative","poverty; discrimination; housing; politics",10,"economic",1,1,"Trump","The response expresses a strong feeling of being left behind due to economic hardship and perceived discrimination, with a specific mention of Trump as a responsible party."
"LA424lb","negative","education; poverty; social mobility",8,"social",0,1,"","The response highlights feelings of being unable to advance due to lack of education and skills, emphasizing a growing social gap."
"NK673ap","negative","identity; discrimination; minority rights",8,"social",0,1,"","The response highlights feelings of being left behind among non-white, non-Christian, and non-male groups, emphasizing social identity and discrimination."
"KD900dx","negative","working full time; financial struggle; family support",7,"economic",0,1,"","The response highlights the emotional struggle of working full time yet not earning enough to support a family, indicating a feeling of being left behind economically."
"GA854dt","negative","education; economic disparity; rural access",8,"economic",0,0,"","The response highlights the economic and educational barriers faced by the poor and under/uneducated, particularly in rural areas, as an objective condition of being left behind."
"RJ549rq","negative","income inequality; job market; housing affordability; education debt",8,"economic",0,0,"","The response highlights objective economic conditions such as inadequate income, unaffordable housing, and education debt."
"QD250oo","negative","economic inequality; government support; rights and freedom",8,"economic",1,1,"the rich, government","The response highlights economic disparity and reduced government support, implying the rich and government are responsible."
"FF403ay","negative","economic disparity; privilege",7,"economic",0,1,"","The response highlights a perceived widening gap between socioeconomic classes, suggesting a feeling of being left behind for those without financial means."
"OD372si","negative","economic disparity; minimum wage; political power",8,"economic",1,0,"economic policies and political power","The response highlights economic disparity and inadequate minimum wage as a result of policies favoring the rich, indicating an objective condition of being left behind."
"QY965yz","negative","rising prices; benefits for immigrants; middle class struggles",7,"economic",1,1,"illegals and others","The response expresses a feeling of being left behind due to economic pressures and perceived preferential treatment of others."
"SL728en","negative","immigration; undervaluation; deportation",7,"social",1,1,"people who want immigrants sent back","The response indicates that immigrants are undervalued and there is a sentiment against them, suggesting they feel left behind."
"FS264fn","negative","factory jobs; manufacturing; rust belt",8,"economic",0,0,"","The response highlights the decline of factory jobs in the rust belt, indicating an economic condition of being left behind."
"OP440di","negative","personal responsibility; self-improvement",1,"social",0,1,"","The response suggests that feeling left behind is due to personal choices or conditions, implying it's a matter of personal responsibility."
"FX295ed","mixed","immigrants; social media; racial issues",5,"social",0,1,"","The response highlights groups feeling left behind, influenced by social media narratives."
"TG401vr","negative","social skills; emotional depth; relationships",7,"social",0,1,"","The response highlights feelings of being left behind due to perceived deficiencies in social skills and emotional depth, impacting relationships."
"IY384yq","negative","immigrants; women; LGBTQ+; safety; discrimination",7,"social",1,1,"many are trying to 'other' them","The response highlights feelings of being unsafe and marginalized among specific groups due to societal attitudes."
"KX827gq","negative","low income; disabled people; minorities; immigrants; wealth distribution",8,"social",1,0,"The United States","The response highlights systemic issues affecting low income, disabled, minority, and immigrant groups, with a focus on social and economic disparities."
"TA972nt","negative","crime; politics; justice system",8,"political",1,1,"democrat politicians","The response criticizes democrat politicians for their crime policies, suggesting they prioritize criminals over victims, leaving victims feeling neglected."
"HF012at","negative","minorities; immigrants; people of colour; LGBTQ+; women",8,"social",0,1,"","The response highlights groups that often feel marginalized or left behind in society."
"IQ592yq","negative","civil rights; freedom; administration policies",8,"political",1,0,"current administration","The response highlights the administration's policies as causing people to feel left behind in terms of civil rights and freedom."
"AS180pr","negative","human rights; inequality; basic needs",8,"social",1,1,"society","The response highlights feelings of being left behind due to societal failure to provide basic needs, implying a social responsibility."
