"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","describe","how_1","why_1","why_2","why_3","why_4","why_5","IOS","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","check_1","feedback","inparty","outparty","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024","vote_2024_12_TEXT","vote_now","vote_now_12_TEXT"
"AD439vx","0","100","537","1","1","4","","","30","1","3","6","2","7","I think anyone who maybe has no strong calling to any particular field or career and just wants to live a good life - someone who maybe has minimal education and a normal 9-5. Life is getting harder and harder to live due to no fault of their own but rather to our hyper-capitalist hellscape we live in. This will disproportionally effect minority communities and plays a part of all the woes we see around the country today.","30","Low wage","Increased cost of living","Corporate takeover of all aspects of life","Government","","4","2","3","5","1","1","2","7","6","7","1","1","1","2","3","1","1","5","5","4","2","2","1","Red","","Democratic Party","Republican Party","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"WG407wu","0","100","269","1","1","4","","","73","4","2","2","2","4","People with mental health issues but with no insurance","74","Ignored","Belittled","Stigmatized","Berated","Underfunded","1","","","","","","2","6","6","3","4","1","3","3","4","1","3","4","2","1","2","3","2","Red","","Non-Partisan","Non-Partisan","man","White","","","","","","","","$40,001-$60,000","2yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"NX137jz","0","100","10","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WN429rs","0","100","569","1","1","4","","","47","1","5","5","1","6","I think that the current administration is making a lot of people feel left behind. On my own block, there are academics who feel attacked, married gay couples who feel like their rights are threatened, two immigrant families who are afraid of being deported (even though they are up to date on their paperwork and in the legal process to get citizenship), and union laborers who feel that, while some of their coworkers like Trump, that there is a systemic attack against unions on the way. None of these people have seen their grocery bills go down. None of these people have seen their utility or property taxes go down. There is a lot of pain and nothing good to show for it. Of course, there is the one neighbor flying a Trump flag who feels empowered in his hate and distain for people. He feels like he is being seen and his entitled attitude is now somehow validated. But, if we keep things going like they are, these angry people will be allowing our laws and nation to be destroyed for the price of feeling better than their neighbor. ","50","Their bills are high.","Their freedoms are being challenged.","They are fearful. ","","","3","2","2","2","2","2","2","6","3","2","4","2","2","3","4","3","3","5","5","5","5","5","5","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"ID744yz","0","100","583","1","1","4","","","58","1","6","2","","6","i think the people left behind in America are the poor, uneduated, minority non english people. Those born into the lower social and income classes are the ones left behind because it is hard to get out of the class into whic you are born.","11","no education","no money","social stigmas","cost of living in USA","i","1","1","1","1","1","1","2","6","6","4","2","1","1","2","4","1","1","5","4","5","1","2","1","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$160,001-$180,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"MP667bz","0","100","531","1","1","4","","","42","5","2","1","6","1","While there are obviously some exceptions, the kind of people that are generally left behind are the types of people with poor work ethic and are unwilling or unable to help themselves. ","11","The can't make ends meet financially ","Struggle for housing","Struggle for employment","Defeatist or victim mentality ","","1","2","2","2","2","2","2","3","6","3","3","1","2","3","4","1","2","4","1","1","1","1","1","green","","Republican Party","Democratic Party","man","White","","","","","","","","$160,001-$180,000","4yearColl","Independent","","","","Closer to Republican","I did not vote","","J. D. Vance (Republican Party)",""
"PC452hr","0","100","483","1","1","4","","","57","2","5","5","3","5","Lower income and middle class people are being left behind in the US today. ","50","Income inequality","gender and sexual orientation discrimination ","eroding of civil rights","access to healthcare","limits on voting rights","3","1","1","1","1","1","2","6","5","4","3","1","2","2","4","1","3","5","1","2","4","3","2","red","","Democratic Party","Republican Party","man","","","","Asian","","","","","$120,001-$140,000","MA","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"BZ761sk","0","100","539","1","1","4","","","69","1","7","4","4","7","People with low income and low-paying low-prestige jobs. Undocumented immigrants who are being unfairly persecuted but Maggats. Documented immigrants who are being persecuted by Maggats. Elderly who have no family or support. Minorities who face discrimination. Those without education to get ahead. People who ignorantly voted for the Orange Hitler who are now surprised that not only does he not care about them, but he's taking away rights and income. ","45","low income","low social status","lack of education","discrimination","T***p and his ilk","2","7","7","7","7","7","2","7","6","5","2","2","1","3","4","2","2","4","1","5","2","4","3","blue","I never thought I’d answer those questions about what Democrats should do the way I did, but considering that Republicans are selfishly and destructively ignoring those rules it’s gloves off, anything goes. Civil war here we come. Thank you, President Cheeto. 
I am dead serious, not sarcastic. 
","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","MA","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"QL817iz","0","100","265","1","1","4","","","34","3","3","4","2","4","I think that most women are feeling left behind, they have people in the government making decisions on what they are allowed to do with their bodies with out their consent. ","78","Abortion","Lower wages","Workplace discrimination ","","","1","1","1","1","1","1","2","7","7","4","1","1","2","3","4","1","2","4","2","1","5","1","1","Black","None ","Democratic Party","Republican Party","man","White","","","","","","","","$100,001-$120,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"OL727mf","0","100","420","1","1","4","","","27","4","7","1","2","1","People who are left behind are those who had roles in an older America whose jobs have now been replaced - whether in manufacturing, due to outsourcing and automation, or in industries like coal mining, that have become obsolete in the twenty-first century.","30","Obsolete","Unemployed","Irrelevent","","","1","1","7","1","1","1","1","3","1","1","6","2","3","3","4","3","4","3","1","1","1","1","2","Blue","","Democratic Party","Republican Party","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Other (please specify)","Why are these the options"
