"PID","lebe_cont","cond","cond_bin","choice","choice_sweep","party_forgroup","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"FV244vg",51,"outparty",0,"CANDIDATE B",1,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,39,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,0,1,NA
"MC227oj",65,"inparty",1,"CANDIDATE B",1,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,50,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,1,0,"Fun!"
"DG569jx",35,"inparty",1,"CANDIDATE A",0,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,35,"woman","White","GED","$120,001-$140,000",7,2,1,0,0,0,1,NA
"ID917yi",100,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,30,"woman","White","MA","$20,001-$40,000",2,5,1,0,0,0,1,NA
"TE167of",50,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,51,"woman","White","GED","$0-$20,000",1,2,1,0,0,1,0,NA
"WB214an",70,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,30,NA,"White","2yearColl","$0-$20,000",1,3,1,NA,0,0,1,NA
"CC435yg",77,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,32,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,NA
"RK881hk",20,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,38,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,1,0,NA
"WA473yd",61,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,33,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,1,0,NA
"XL163wf",100,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,41,"man","Black or African American","4yearColl","$40,001-$60,000",3,4,0,1,0,1,0,NA
"OT439xx",0,"outparty",0,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,48,"woman","White","4yearColl","Over $200,000",11,4,1,0,1,0,0,NA
"NO866ix",68,"inparty",1,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,37,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,"None, thank you"
"PC647hd",10,"outparty",0,"CANDIDATE A",0,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,49,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,0,0,1,NA
"XT640ub",82,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,36,"man","multiracial","MA","$20,001-$40,000",2,5,0,1,0,1,0,NA
