"PID","Status","Progress","Duration..in.seconds.","Finished","consent","ideo","gender_.99_TEXT","race_8_TEXT","age","lebe_cont_1","check_2","feedback","cond","noparty.1","outparty.1","inparty.1","noparty_party","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","outparty","inparty","noparty"
"FV244vg","0","100","44","1","1","4","","","39","51","blue","","outparty","1","","","Republican","man","","","","Asian","","","","","Over $200,000","4yearColl","Independent","","","","Neither","","","CANDIDATE B"
"MC227oj","0","100","54","1","1","2","","","50","65","Blue","Fun!","inparty","0","Republican","Democratic","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"DG569jx","0","100","65","1","1","4","","","35","35","blue","","inparty","1","","","Republican","woman","White","","","","","","","","$120,001-$140,000","GED","Independent","","","","Neither","","","CANDIDATE A"
"ID917yi","0","100","53","1","1","1","","","30","100","yellow","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$20,001-$40,000","MA","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"TE167of","0","100","87","1","1","1","","","51","50","Blue","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","","","CANDIDATE A","",""
"WB214an","0","100","59","1","1","1","Non-Binary","","30","70","Blue","","inparty","0","Republican","Democratic","",NA,"White","","","","","","","","$0-$20,000","2yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"CC435yg","0","100","66","1","1","1","","","32","77","black","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"RK881hk","0","100","67","1","1","2","","","38","20","blue","","outparty","0","Republican","Democratic","","man","","","","Asian","","","","","Over $200,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"WA473yd","0","100","66","1","1","1","","","33","61","Blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"XL163wf","0","100","67","1","1","1","","","41","100","Blue","","inparty","0","Republican","Democratic","","man","","","Black or African American","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE B",""
"OT439xx","0","100","88","1","1","6","","","48","0","green","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"NO866ix","0","100","85","1","1","1","","","37","68","Pink","None, thank you","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"PC647hd","0","100","72","1","1","4","","","49","10","pink","","outparty","1","","","Republican","woman","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Neither","","","CANDIDATE A"
"XT640ub","0","100","59","1","1","1","","","36","82","blue","","outparty","0","Republican","Democratic","","man","White","","Black or African American","","","","","","$20,001-$40,000","MA","Democrat","","Strong","","","CANDIDATE A","",""
"SW424im","0","100","68","1","1","6","","","42","20","green","nope","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"HY961hs","0","100","70","1","1","2","","","43","5","Blue","","outparty","0","Republican","Democratic","","man","White","","","","","","","","Over $200,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"UD687ov","0","100","60","1","1","6","","","34","41","pink","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","","CANDIDATE B",""
"UZ731gh","0","100","146","1","1","4","Nonbinary","","31","82","Blue","","outparty","1","","","Democratic",NA,"","","","Asian","","","","","$60,001-$80,000","GED","Independent","","","","Neither","","","CANDIDATE A"
"HX177dj","0","100","85","1","1","3","","","50","80","green","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Not very strong","","","CANDIDATE B","",""
"VT334vw","0","100","149","1","1","1","","","38","82","Blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"KL524ya","0","100","71","1","1","4","","","28","74","pink","","outparty","0","Democratic","Republican","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Republican","CANDIDATE B","",""
"VU342xq","0","100","104","1","1","6","","","53","0","blue","no comments","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Strong","","CANDIDATE B","",""
"KG560dc","0","100","188","1","1","1","","","70","34","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$120,001-$140,000","GED","Democrat","","Strong","","","","CANDIDATE A",""
"GY011xq","0","100","200","1","1","2","","","46","56","green","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Democratic","","CANDIDATE A",""
"RB326bn","0","100","117","1","1","7","","","42","70","blue","why were they Depublican?!","inparty","0","Democratic","Depublican","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$120,001-$140,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
