"PID","Status","Progress","Duration..in.seconds.","Finished","consent","lebe_cont_1","elect_exp","elect_change","elect_econ","elect_cult","mob_1","mob_2","mob_3","mob_4","mob_5","mob_6","mob_7","mob_8","check_1","soccon_1","soccon_2","soccon_3","soccon_4","soccon_5","lonely_1","lonely_2","lonely_3","leftbehind_cooley_1","leftbehind_cooley_2","leftbehind_cooley_3","leftbehind_cooley_4","leftbehind_cooley_5","ideo","gender_.99_TEXT","race_8_TEXT","age","check_2","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"RI676hv","0","100","167","1","1","30","3","4","5","3","2","5","2","5","6","6","2","2","5","3","3","5","5","3","2","2","2","","","","","","4","","","58","Blue","","man","White","","","","","","","","$100,001-$120,000","2yearColl","Independent","","","","Closer to Democratic"
"AH175oh","0","100","151","1","1","63","3","3","1","1","3","5","2","5","5","5","3","3","5","5","5","4","4","5","3","2","3","","","","","","2","","","52","blue","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"VF052zm","0","100","134","1","1","64","2","2","1","1","3","5","3","5","5","5","3","3","5","3","3","2","6","2","1","1","2","","","","","","2","","","46","blue","","man","White","","","","","","","","$60,001-$80,000","MA","Democrat","","Strong","",""
"YN821tk","0","100","135","1","1","10","2","5","5","6","1","7","2","7","6","7","1","1","5","1","1","1","6","1","1","1","1","","","","","","6","","","28","Red","","man","White","","","","","","","","$120,001-$140,000","2yearColl","Republican","","","Not very strong",""
"DJ633bw","0","100","224","1","1","50","4","4","4","3","2","6","2","6","6","6","2","2","5","3","3","4","5","4","1","1","1","","","","","","3","","","49","coral","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Not very strong","",""
"SJ963nd","0","100","165","1","1","80","3","1","1","1","4","3","4","3","4","3","5","4","5","5","5","4","6","4","2","2","2","","","","","","1","","","40","Green","","woman","White","","","","","","","","$40,001-$60,000","MA","Democrat","","Strong","",""
"PC898oj","0","100","121","1","1","82","4","4","5","6","4","6","4","4","4","6","4","4","4","4","4","4","6","6","2","2","1","","","","","","6","","","34","Green","","man","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","$80,001-$100,000","GED","Republican","","","Strong",""
"GP524ug","0","100","196","1","1","60","5","4","5","2","2","3","1","6","4","6","3","5","5","4","1","3","5","3","1","1","2","","","","","","2","","","27","purple","Thank you!","woman","","Hispanic, Latino, or Spanish origin","","","","Middle Eastern or North African","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","",""
"SF664tt","0","100","255","1","1","19","5","1","4","7","2","6","2","6","6","6","2","2","5","1","1","2","6","2","1","1","1","","","","","","6","","","37","pink","","woman","White","","","","","","","","$140,001-$160,000","2yearColl","Republican","","","Strong",""
"UG903tp","0","100","139","1","1","66","2","2","2","5","4","4","4","4","4","4","4","4","5","4","4","5","6","5","2","2","2","","","","","","4","","","40","green","","man","White","","","","","","","","$80,001-$100,000","GED","Independent","","","","Neither"
"UL214af","0","100","215","1","1","78","4","5","6","7","5","6","4","6","5","6","6","5","5","6","3","3","6","5","1","1","1","","","","","","4","","","31","Red","","man","","","Black or African American","","","","","","$60,001-$80,000","2yearColl","Republican","","","Not very strong",""
"CT456gg","0","100","202","1","1","61","6","3","6","6","3","5","2","5","5","5","3","2","5","2","2","2","5","5","1","1","1","","","","","","7","","","49","blue","","woman","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Strong",""
"DP739lu","0","100","171","1","1","33","4","3","5","4","3","4","4","4","3","3","5","2","5","3","5","4","6","3","1","1","1","","","","","","4","","","25","blue","","man","","","","Asian","","","","","$120,001-$140,000","MA","Independent","","","","Neither"
"YZ462gh","0","100","236","1","1","70","5","3","2","1","2","5","2","6","5","5","2","2","5","6","6","4","3","5","1","1","1","","","","","","2","","","38","brown","","man","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Not very strong","",""
"XS774xu","0","100","209","1","1","23","2","5","6","7","3","2","3","5","5","2","5","6","5","2","1","1","5","2","2","1","1","","","","","","7","","","74","blue","Thank you","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"MB005gy","0","100","154","1","1","25","6","6","2","1","6","2","6","2","2","2","6","6","5","7","6","6","2","5","1","1","1","","","","","","4","","","42","blue","","man","","","","Asian","","","","","$20,001-$40,000","2yearColl","Independent","","","","Neither"
"BT454ep","0","100","193","1","1","40","3","1","1","1","3","5","3","6","5","5","2","3","5","3","3","3","5","3","1","1","1","","","","","","1","","","26","Purple","","man","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Strong","",""
"BH471hy","0","100","199","1","1","5","2","7","7","7","2","6","2","6","6","6","2","2","5","1","1","1","7","2","1","1","1","","","","","","6","","","51","red","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"NP157ul","0","100","191","1","1","77","2","2","5","5","4","2","4","2","3","2","4","4","5","6","7","6","4","6","2","2","3","","","","","","5","","","44","Grey","","man","White","","","","","","","","$0-$20,000","2yearColl","Independent","","","","Closer to Republican"
"RI447jp","0","100","140","1","1","66","6","5","2","1","6","3","5","4","4","3","5","5","5","5","6","6","4","5","3","2","3","","","","","","2","","","34","Yellow","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl","Democrat","","Not very strong","",""
"YF533wq","0","100","146","1","1","8","3","3","6","2","2","6","7","6","6","6","2","3","5","2","1","1","6","2","1","1","1","","","","","","4","","","30","Orange","","man","White","","","","","","","","Over $200,000","4yearColl","Independent","","","","Neither"
"NX725ro","0","100","210","1","1","9","1","4","5","4","2","5","2","6","6","6","2","3","5","4","2","3","5","4","2","1","1","","","","","","4","","","54","Blue","","woman","White","","","","","","","","Prefer not to answer","GED","Republican","","","Not very strong",""
"IE579ma","0","100","144","1","1","35","5","5","4","4","3","4","5","4","5","3","4","4","5","5","4","5","6","5","2","2","2","","","","","","4","","","28","Blue","","man","White","","","","","","","","$140,001-$160,000","4yearColl","No preference","","","","Closer to Republican"
"MZ075ac","0","100","164","1","1","48","3","4","4","4","2","5","2","6","5","6","2","2","5","2","2","6","5","6","1","1","1","","","","","","4","","","47","Pink","none","woman","White","","","","","","","","$100,001-$120,000","2yearColl","Republican","","","Not very strong",""
"TY304bw","0","100","129","1","1","100","4","3","3","2","6","1","6","2","1","1","7","6","5","6","6","7","4","6","2","3","3","","","","","","3","","","53","blue","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic"
"TQ455qj","0","100","144","1","1","94","4","3","1","2","5","1","4","1","1","1","5","6","5","1","1","1","4","1","1","1","1","","","","","","3","","","64","green","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Democratic"
"OK394km","0","100","238","1","1","75","5","5","3","4","3","4","3","4","4","4","3","3","5","5","5","5","5","4","2","2","2","","","","","","4","","","32","Green","","woman","White","","","","","","","","$60,001-$80,000","GED","Independent","","","","Neither"
