"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"ZW523yb","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",31,1,1,0,0,5,6,3,5.5,2,7,4,4,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,28,"woman","White","PHD","$80,001-$100,000",5,6,1,0,0,1,0,NA
"FB031kc","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",65,0,0,0,1,1,4,5,3,7,1,3,5,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,33,"woman","White","4yearColl","$0-$20,000",1,4,1,0,0,1,0,NA
"SR263nz","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",50,1,1,0,0,3,3,4.5,5.5,2,4,7,7,"No","Zohran Mamdani",1,"No preference",NA,NA,"Neither","Independent | Neither",1,43,"man","Asian","GED","$0-$20,000",1,2,0,1,0,0,0,NA
"UQ412kp","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",45,0,0,0,1,5,4,4.5,3.5,5,3,4,4,"Yes","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,46,"man","Asian","4yearColl","$60,001-$80,000",4,4,0,1,0,1,0,NA
"OH562qs","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",79,0,0,0,1,6,3,4.5,4,6,3,3,5,"Yes","Mikie Sherill",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,47,"woman","White","MA","$0-$20,000",1,5,1,0,0,0,1,NA
"AQ149bq","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",40,1,1,0,0,2,5,5,3,5,3,5,3,"Not sure","Jack Ciattarelli",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,52,"man","White","GED","$40,001-$60,000",3,2,1,1,1,0,0,"Thank you for taking the time to read my responses."
"PH193dy","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",80,1,1,0,0,6,1,1.5,6,1,6,2,6,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,28,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"LX780sq","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",70,0,0,0,1,6,6,7,1.5,7,1,7,2,"Not sure","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,41,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"YH017ml","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",35,1,1,0,0,5,2,2.5,6.5,2,6,3,7,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,46,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$60,001-$80,000",4,4,0,0,0,1,0,NA
"VA767fg","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",60,1,1,0,0,7,3,1.5,5,1,5,2,5,"Yes","Zohran Mamdani",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,32,"man","White","MA","$120,001-$140,000",7,5,1,1,1,0,0,"no"
