"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","vote_t2","vote_sweep_t2","vote_sweep_all_t2","vote_other_t2","vote_inc_all_t2","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","party_id","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"AA207ao","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",61,1,1,0,0,"Zohran Mamdani",1,1,0,0,6,1,1.5,4.5,1,4,2,5,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,37,"man","White","MA","$80,001-$100,000",5,5,1,1,0,1,0,NA
"AA222ul","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",80,1,1,0,0,NA,NA,NA,NA,NA,3,3,4,2.5,4,2,4,3,"Not sure","Jack Ciattarelli",4,"No preference",NA,NA,"Neither","Independent | Neither","Ind",1,32,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,0,NA
"AC689lr","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",45,0,0,0,1,"Mikie Sherill",0,0,0,1,2,4,6.5,3.5,7,3,6,4,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,33,"man","Asian","4yearColl","$60,001-$80,000",4,4,0,1,0,1,0,NA
"AC758ua","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",45,1,1,0,0,"Omar Fateh",1,1,0,0,4,4,5,2.5,6,1,4,4,"Yes","Omar Fateh",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,28,"woman","Asian","4yearColl","$100,001-$120,000",6,4,0,0,0,1,0,NA
"AI279ov","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",8,NA,0,1,0,"Zohran Mamdani",1,1,0,0,6,4,2.5,4,1,4,4,4,"Yes",NA,2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,64,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,1,0,NA
"AN157kw","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",73,1,1,0,0,"Zohran Mamdani",1,1,0,0,5,3,3.5,4.5,2,6,5,3,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,31,"man","Asian","GED","$20,001-$40,000",2,2,0,1,0,1,0,NA
"AP867qx","New Jersey","Sussex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",18,0,0,0,1,"Mikie Sherill",0,0,0,1,6,3,6.5,1.5,6,2,7,1,"Yes","Mikie Sherill",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong","Rep",1,55,"woman","White","MA","$120,001-$140,000",7,5,1,0,1,0,0,"I usually vote Republican, but as a teacher with a pension I have to go with the Democrat on this one."
"AP999xh","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",40,1,1,0,0,"Omar Fateh",1,1,0,0,2,5,5.5,2,5,2,6,2,"Yes","Omar Fateh",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,31,"man","White","2yearColl","$80,001-$100,000",5,3,1,1,0,1,0,NA
"AQ261qr","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",37,1,1,0,0,NA,NA,NA,NA,NA,7,1,2,6,2,5,2,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,28,"man","Asian","4yearColl","$140,001-$160,000",8,4,0,1,0,1,0,NA
"AQ548ok","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",31,1,1,0,0,"Jack Ciattarelli",1,1,0,0,5,1,7,1,7,1,7,1,"Yes","Jack Ciattarelli",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong","Rep",1,57,"woman","White","PHD","Over $200,000",11,6,1,0,1,0,0,NA
"AS927sn","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",80,1,1,0,0,"Zohran Mamdani",1,1,0,0,6,1,1.5,6,1,6,2,6,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,28,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"AS927sn","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",80,1,1,0,0,NA,NA,0,1,0,6,1,1.5,6,1,6,2,6,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,28,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"AV465uq","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",43,NA,0,1,0,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,"Not sure",NA,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,20,NA,"Asian","GED","$80,001-$100,000",5,2,0,NA,0,1,0,NA
"AX665tc","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",80,NA,0,1,0,NA,NA,NA,NA,NA,5,1,1,5.5,1,6,1,5,"Not sure","none",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,36,"woman","Other (please specify)","PHD","$180,001-$200,000",10,6,0,0,0,1,0,"I am planning on not voting for mayor because I think at the moment Mamdani is winning strongly enough that my vote doesn't matter, and I have extensive personal experience with him (we were part of the same organization for ~3 years) and find him very unpleasant on a personal level. If it looks like Cuomo might win then I will have to vote for Mamdani, but if Mamdani can win without me then I won't vote for him."
"AZ493zv","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",60,NA,0,1,0,NA,NA,0,1,0,1,4,5,3,5,3,5,3,"Yes","Dewayne Davis",1,"Other party",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,35,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,0,0,NA
"BG018dv","New Jersey","Union","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",62,0,0,0,1,"Mikie Sherill",0,0,0,1,4,2,7,4,7,3,7,5,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,27,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,1,0,NA
"BG499tc","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",38,NA,0,1,0,"No Vote",NA,0,1,0,7,3,1,3.5,1,4,1,3,"Yes",NA,4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,27,"man","multiracial","4yearColl",NA,NA,4,0,1,0,0,1,NA
"BH598wn","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",0,NA,0,1,0,"Andrew Cuomo",0,0,0,1,6,6,6,6,6,6,6,6,"Yes","Curtis Sliwa",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,28,"woman","Black or African American","MA","$100,001-$120,000",6,5,0,0,0,1,0,NA
"BH643yd","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",47,1,1,0,0,"Zohran Mamdani",1,1,0,0,6,3,1.5,3.5,2,4,1,3,"Not sure","Zohran Mamdani",2,"Other party",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,25,"man","multiracial","4yearColl","$80,001-$100,000",5,4,0,1,0,0,0,NA
"BL932po","New Jersey","Passaic","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",30,0,0,0,1,"Mikie Sherill",0,0,0,1,7,2,7,1.5,7,2,7,1,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,19,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,NA
"BN397yi","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",57,1,1,0,0,"Zohran Mamdani",1,1,0,0,4,5,3.5,4,3,5,4,3,"Yes","Zohran Mamdani",5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,32,"man","Asian","MA","$120,001-$140,000",7,5,0,1,0,1,0,NA
"BN678sc","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",40,1,1,0,0,"Zohran Mamdani",1,1,0,0,3,4,1,5.5,1,6,1,5,"Yes","Zohran Mamdani",4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,31,"man","Hispanic, Latino, or Spanish origin","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,NA
"BN891cm","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",30,1,1,0,0,NA,NA,NA,NA,NA,3,1,1,6.5,1,6,1,7,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,39,"woman","White","MA","$160,001-$180,000",9,5,1,0,0,1,0,NA
