"PID","Status","StartDate","Progress","Duration..in.seconds.","Finished","consent","gender_.99_TEXT","race_8_TEXT","age","feedback","Election","CAND_1","CAND_2","RACETYPE","vote_who","vote_who_3_TEXT","vote_who_nyc","vote_who_nyc_8_TEXT","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"IP051gu","0","2025-11-05 09:00:20","100","21","1","1","","","27","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Prefer not to answer","4yearColl"
"TN451lv","0","2025-11-05 09:00:25","100","21","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$20,001-$40,000","2yearColl"
"SP917fq","0","2025-11-05 09:00:23","100","31","1","1","","","44","Vote Blue!!!","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$140,001-$160,000","4yearColl"
"QP352vh","0","2025-11-05 09:00:23","100","33","1","1","","","41","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$0-$20,000","GED"
"BN397yi","0","2025-11-05 09:00:26","100","35","1","1","","","32","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$120,001-$140,000","MA"
"CZ599zr","0","2025-11-05 09:00:30","100","32","1","1","","","27","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","GED"
"UL472ta","0","2025-11-05 09:00:39","100","34","1","1","","","23","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","Other","Jazz Hampton","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"UE766qa","0","2025-11-05 09:00:42","100","42","1","1","","","39","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","man","White","","","","","","","","$40,001-$60,000","2yearColl"
"WF303cq","0","2025-11-05 09:00:36","100","48","1","1","","","46","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl"
"GK533ht","0","2025-11-05 09:00:32","100","55","1","1","","","43","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$40,001-$60,000","GED"
"OD169hz","0","2025-11-05 09:00:30","100","71","1","1","","","28",NA,"New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","4yearColl"
"FT266jm","0","2025-11-05 09:01:02","100","84","1","1","","","44","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","White","","","","","","","","$60,001-$80,000","GED"
"UD958rn","0","2025-11-05 09:01:59","100","36","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","","","Black or African American","","","","","","$40,001-$60,000","4yearColl"
