var,label,description
lebe_cont,Left Behind: Continuous,"To what extent do you feel left behind? (0 = ""Not at All Left Behind""  to 100 = ""Extremely Left Behind"")"
system_R,Individual-Systemic: Self-report,"Would you say the factors that make you feel left behind are more systemic (larger forces outside your control, like government, society, culture, or the economy) or more individual (your own circumstances and choices)? (1 = ""Entirely Individual"" to 7 = ""Entirely Systemic"")"
gov,Government: Self-report,"To what extent are the factors contributing to you feeling left behind related to the government? (1 = ""Not at all related to the government"" to 5 = ""Extremely related to the government"")"
econcult,Economic-Cultural: Self-report,"Would you say the factors that make you feel left behind are more economic (like income, affordability, financial security) or cultural (like dignity, feeling respected, feeling valued)? (1 = ""Entirely Economic"" to 7 = ""Entirely Cultural"")"
history,Historic-Recent: Self-report,"Would you say that the factors contributing to you feeling left behind are more historic (i.e.,they have been present for many years) or more recent (i.e., they are relatively new)? (1 = ""Entirely Historic"" to 7 = ""Entirely Recent"")"
trajectory,Trajectory: Self-report,"Would you say that the trajectory of the factors contributing to you feeling left behind is negative (i.e., things are getting worse) or positive (i.e., things are getting better)? (1 = ""Extremely Negative"" to 7 = ""Extremely Positive"")"
leftbehind_gpt,Left Behind: gpt-rated,"To what extent is this person feeling left behind? (1 = ""Not at All Left Behind"" to 5 = ""Extremely Left Behind"")"
system_to_ind_gpt,Individual-Systemic: gpt-rated,"Would you say that the factors that make this person feel left behind are more systemic (larger forces outside their control, like government, society, culture, or the economy) or more individual (their own circumstances and choice)? (1 = ""Entirely Systemic"" to 7 = ""Entirely Individual"")"
gov_gpt,Government: gpt-rated,"To what extent are the factors related to the government? (1 = ""Not at all related to the government"" to 5 = ""Extremely related to the government"")"
econ_to_cult_gpt,Economic-Cultural: gpt-rated,"To what extent are the factors more economic (like income, affordability, financial security) or cultural (like dignity, feeling respected, feeling valued)? (1 = ""Entirely Economic"" to 7 = ""Entirely Cultural"")"
history_gpt,Historic-Recent: gpt-rated,"To what extent are the factors more historic (i.e., they have been present for many years) or more recent (i.e., they are relatively new)? (1 = ""Entirely Historic"" to 7 = ""Entirely Recent"")"
trajectory_gpt,Trajectory: gpt-rated,"Is the trajectory of the factors negative (i.e., things are getting worse) or positive (i.e., things are getting better)? (1 = ""Extremely Negative"" to 7 = ""Extremely Positive"")"
mrl,How tightly one person’s reasons point to the same theme (higher = tighter),
mpcs,Average similarity across all pairs of that person’s reasons,
n_reasons,number of gpt-generated reasons,
antidem,Support for Anti-Democratic Practices,Mean score of 5-item scale meauring endorsement of partisan anti-democratic practices
trust,Trust in institutions,"Mean score of trust in congress, government, judicial, science, political parties, and mainstream news"
antiest,Anti-Establishment Sentiment,Mean score of 4-item scale measuring anti-establishment sentiment
elect_exp,Ideal candidate: Experience,"Thinking about experience with politics, where would your ideal candidate fall? 1 = Outsider (no prior political office); 7 = Insider (many years in political office)"
elect_change,Ideal candidate: Change,"Thinking about how they would approach change, what approach would you like them to take? 1 = Sweeping (bold, radical changes); 7 = Incremental (smaller, step-by-step changes)"
elect_econ,Ideal candidate: Economic Platform,"Thinking about their economic platform, which positions would your ideal candidate advance? 1 = Free Market (low corporate taxes, deregulation); 7 = Redistributive (wealth tax, stronger unions)"
elect_cult,Ideal candidate: Cultural issues,"Thinking about cultural issues, which positions would your ideal candidate advance? 1 = Conservative (pro-life, stronger police, immigration crackdown); 7 = Progressive (pro-choice, minority rights, inclusive immigration)"
trust_con,Trust: Congress,"Congress (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
trust_gov,Trust: Government,"The Government (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
trust_jud,Trust: Judiciary,"The judiciary (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
trust_sci,Trust: Science,"Scientists (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
trust_pol,Trust: Political parties,"The political parties (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
trust_news,Trust: News,"Traditional newsmedia (1 = ""do not trust it at all"" to 4 = ""trust it a lot"")"
ideo_con,Ideo: Conservatism,Conservatism
ideo_lib,Ideo: Liberalism,Liberalism
ideo_demsoc,Ideo: Democratic Socialism,Democratic Socialism
ideo_lbrtn,Ideo: Libertarianism,Libertarianism
ideo_prog,Ideo: Progressivism,Progressivism
rep_bin,Republican,Republican = 1; Not Republican = 0
dem_bin,Democrat,Democrat = 1; Not Democrat = 0
ind_bin,Independent,Independent = 1; Not Independent = 0
age,Age,Age
edu_num,Education,Numeric transofrmation of education level
income_num,Income,Numeric transformation of income level
white_bin,Race,White = 1; Non-White = 0
man_bin,Gender,Man = 1; Non-Man = 0
