"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"AG709ww",5,0.681279947292345,3,0.571939844677644,1,0.43886881118372,0.133071033493925
"AI993kq",5,0.640839252540328,8,0.488502147531314,4,0.487980531724803,0.000521615806511444
"AM446ec",5,0.674729031423422,7,0.525109933018065,9,0.482351435797159,0.042758497220906
"AM783tw",5,0.699804999440593,7,0.553475952243461,9,0.479258434800463,0.0742175174429984
"AR222lk",5,0.736213819932807,7,0.566966547059198,9,0.537057084345628,0.0299094627135696
"AR459ei",5,0.675575714836064,4,0.514272151767335,8,0.510744759814783,0.00352739195255158
"AY506ri",5,0.650602342629442,1,0.470007407915211,9,0.458491127234396,0.0115162806808151
"BA221pq",7,0.588156067689235,4,0.445029888866031,1,0.438744570907643,0.0062853179583871
"BA969ut",4,0.652689407104144,1,0.486743921790679,4,0.415411665990114,0.0713322558005656
"BD747ot",2,0.793619450144091,2,0.576769393195133,7,0.502135593551032,0.0746337996441011
"BG478xb",5,0.644051019165142,8,0.536496628197206,1,0.460742636514263,0.0757539916829433
"BN140jn",6,0.638015919480432,1,0.488526584091585,7,0.482377844547554,0.006148739544031
"BN683kh",3,0.760678111305144,8,0.512214308229237,7,0.497737243097365,0.0144770651318714
"BR905ew",4,0.646357680700291,7,0.49711153531423,2,0.419740571380974,0.0773709639332557
"BU741iq",4,0.691628530710595,2,0.531896417721685,1,0.483180084540364,0.0487163331813213
"CA003hz",5,0.665291832435035,9,0.515594239541591,4,0.499853739977779,0.0157404995638121
"CF012iz",5,0.641430690100276,4,0.479041076260766,5,0.424548974531714,0.0544921017290516
"CG199xe",4,0.688725818818885,2,0.527607699539026,1,0.45110160399805,0.076506095540976
"CH472sk",5,0.741061651830391,7,0.634224107575658,6,0.506827859515945,0.127396248059713
"CK578la",5,0.662440092636614,9,0.493233815639812,2,0.47910050195468,0.0141333136851319
"CL525ij",6,0.666293809542064,8,0.562053435426587,4,0.545653104085537,0.0164003313410491
"CS999ft",5,0.671275025137562,9,0.519916866215925,1,0.49028577470969,0.0296310915062354
"CU252tz",5,0.656202403904642,6,0.497028602572403,9,0.493772606571698,0.0032559960007052
"DF300ki",3,0.759104310273292,7,0.625008376112226,6,0.502165548179184,0.122842827933042
"DG393mo",3,0.747193811837839,8,0.606723107136536,2,0.511973871313164,0.094749235823372
"DL706hd",5,0.683301476464926,8,0.556190710172539,1,0.483122250446882,0.073068459725657
"DL870tq",3,0.722157136528408,3,0.505313327381071,9,0.441520016389177,0.0637933109918942
"DO703rt",3,0.737957815186944,9,0.527169745065932,7,0.521219283978745,0.005950461087187
"DV209rg",2,0.786992156770725,1,0.504957006793625,6,0.435008518137983,0.069948488655642
"EE414ia",5,0.671455749884123,5,0.478835455224662,4,0.45440827087494,0.0244271843497217
