"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","lebe_cont_1","describe","system","gov","econcult","history","trajectory","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect_exp","elect_change","elect_econ","elect_cult","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","vote_2024_12_TEXT","check_1","feedback","inparty","outparty","extra_text","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024"
"KG931wh","0","100","202","1","1","4","","","35","1","5","4","5","4","0","Feeling left behind might mean everyone else has a life and has accomplished something and you might now feel that way. I don't feel left behind. My life feels full, I feel accomplished, I'm happy with it. ","3","1","3","4","2","2","2","2","2","2","6","7","5","7","5","5","3","3","1","1","1","3","1","2","","moes","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$120,001-$140,000","MA","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"VO721kd","0","100","253","1","1","4","","","38","1","5","5","5","3","35","I feel left behind economically and job wise. No matter what I do nothing is really working out for me. I also feel left behind in life. I have no family and do not have a house of my own.","5","2","3","2","2","5","1","5","3","5","2","2","6","5","7","7","6","1","1","1","1","4","1","2","","Wendy's ","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$0-$20,000","MA","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"FZ048vk","0","100","175","1","1","4","","","28","1","6","4","4","4","100","I have next to no income, I am disabled, and I don't qualify for government benefits since I don't have enough money for more up to date doctors notes. It's really disheartening and I see the people I graduated with living such full lives while I am here barely scraping by with surveys.","1","5","1","6","1","1","1","1","1","1","3","1","6","7","7","7","7","1","1","1","2","3","1","3","","Taco Bell","","Democratic Party","Republican Party","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"YU028ih","0","100","14","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM184wm","0","100","290","1","1","4","","","32","2","5","7","3","6","26","Not being given equal opportunity in life in regards to school, jobs, and extracurricular activities. I would not say i was necessarily left behind but my parents did have to do some work to get me into schools that are not the ones I was zoned to. In that way I would have been left behind if I just went to the school in my neighborhood. In richer neighborhoods, one can just attend the zone school and receive an above average education. ","1","4","2","1","6","2","2","2","2","4","4","4","5","7","7","6","4","2","1","1","1","4","1","3","","Raising Canes","","Democratic Party","Republican Party",", if any,","man","","Hispanic, Latino, or Spanish origin","","","","","","","Over $200,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"GS727ti","0","100","235","1","1","4","","","25","","2","2","","","60","I feel left behind in terms of finances and a career. I've been unemployed for 9 months now and it sucks that I am unable to find a job. I've been making income through gig work, but it feels like I'm wasting a lot of my time. I just wish that I am able to get a job in my field again so I can work towards self-fulfillment and be back on track with people who are similar to me. ","4","1","2","5","4","2","2","2","2","2","6","5","7","7","7","5","4","3","2","2","2","4","2","2","","Wendy's","","Democratic Party","Republican Party","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"JM046ls","0","100","328","1","1","4","","","60","1","6","4","2","6","20","I don't really feel left behind, as things have turned out well in my life.  I make decent money, actually enjoy my job and have an amazing life partner","4","1","4","4","4","1","7","1","1","1","4","4","6","6","6","4","4","1","2","1","2","4","3","3","","taco bell","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","Prefer not to answer","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"YU703oj","0","100","308","1","1","4","","","56","5","2","2","2","4","30","For me, being left behind relates to times when I have struggled in my life. Financially, when I have struggled, I am someone who falls between the cracks/was just beyond qualification for help. I also feel left behind when it comes to health insurance. I have spent more years uninsured than not. I cannot afford insurance; but, don't qualify for help with insurance/insurance premiums.","2","4","2","4","2","","","","","","2","4","5","5","6","6","5","2","2","2","2","3","2","2","","penn station east coast subs","","Non-Partisan","Non-Partisan",", if any,","woman","White","","","","American Indian or Alaska Native","","","","$60,001-$80,000","4yearColl","Independent","","","","Neither","Donald Trump (Republican Party)"
"VY243nv","0","100","290","1","1","4","","","36","6","5","5","6","5","80","I feel left behind due to my lack of experiences. I have little to no social skills and my finances aren't the greatest but improving due to effort. I feel left behind due my own actions not the fault of society. If I played my cards right I would be doing a lot better.","6","1","5","2","6","","","","","","1","3","5","4","6","6","2","1","1","2","2","3","1","2","","Taco Bell","I hate both parties but wish things would improve.","Non-Partisan","Non-Partisan","","man","","","","Asian","","","","","$80,001-$100,000","2yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)"
"DF300ki","0","100","293","1","1","4","","","28","6","1","2","3","2","71","I think it mainly means financially left behind.  It seems like it was easier to afford a home in the past, for example.  My parents were able to buy a nice house with a huge garage and backyard on two modest incomes decades ago.  I think today, that's nearly impossible.","2","4","2","6","2","2","3","4","4","2","5","6","3","2","6","5","6","2","2","2","2","2","2","1","","Jimmy John's","","Republican Party","Democratic Party","",NA,"White","","","","","","","","Prefer not to answer",NA,"Republican","","","Not very strong","","I did not vote"
