"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"AA643ln",4,0.663636634088987,5,0.52643741091391,8,0.468865714476067,0.0575716964378428
"AA933nr",4,0.687001079530679,3,0.559961760978617,7,0.474911564383755,0.0850501965948613
"AB026gq",4,0.671124366887805,10,0.555097511220568,2,0.47083272383097,0.084264787389598
"AD665iz",8,0.621226589675944,2,0.51598737175664,3,0.479494812047609,0.0364925597090311
"AE792gv",1,1,8,0.536832284456836,2,0.411250644113516,0.12558164034332
"AF694lo",3,0.737301906890367,8,0.552480606163303,3,0.485087902587759,0.0673927035755439
"AF854xi",3,0.736120344293479,2,0.532671419477015,9,0.505135365109068,0.0275360543679475
"AJ808cf",5,0.679884260878361,3,0.528107002637869,2,0.508545665932614,0.0195613367052548
"AL100ck",3,0.737336137451634,5,0.544406030084635,8,0.531185857714457,0.0132201723701777
"AL472lu",4,0.717423298054913,2,0.537320359056245,3,0.519656886540523,0.0176634725157214
"AM344df",4,0.741463552300318,7,0.610332956343125,5,0.429800374270681,0.180532582072444
"AM527mm",4,0.734119173411675,6,0.591274379021858,2,0.418282162686808,0.17299221633505
"AO112kq",1,0.999999999999998,1,0.704347724538782,2,0.549594410177834,0.154753314360948
"AQ686ko",5,0.638344031049147,2,0.507420963132075,3,0.470576760181494,0.0368442029505815
"AR326bo",2,0.815772175318368,9,0.483611301735065,6,0.481200857209861,0.00241044452520311
"AT042br",4,0.716034140271747,7,0.600231271132951,2,0.471657349055855,0.128573922077096
"AU013gb",1,1,5,0.582645684061165,8,0.55528878784617,0.0273568962149956
"AU575uy",5,0.633068522058616,7,0.45532392476499,10,0.42769870027004,0.0276252244949504
"AW542vd",3,0.722491169976096,4,0.558418533440658,9,0.547085088948842,0.0113334444918166
"AZ179ep",9,0.611193022694942,8,0.537141180720135,5,0.509906700793792,0.0272344799263424
"BD199hz",4,0.660274616293362,8,0.50167054191379,7,0.445405504730342,0.0562650371834474
"BD938ty",5,0.609495419434251,2,0.455247032545065,10,0.452629521653253,0.00261751089181256
