"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","lebe_cont_1","describe","elect_exp","elect_change","elect_econ","elect_cult","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","gender_.99_TEXT","race_8_TEXT","age","check_1","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"WS064td","0","100","137","1","1","4","54","Was sold a promise that to go to college, follow dreams and start a family would all be easy in America. Even though I have accomplished that, I have had to sacrifice a lot more than previous generations while not getting to enjoy life as much as we should.","5","3","2","1","1","6","5","2","6","","","42","Green","","woman","White","","","","","","","","$120,001-$140,000","MA","Democrat","","Strong","",""
"WK418dj","0","100","155","1","1","4","12","I do not feel left behind at all. I have had opportunities in my life to work hard and to succeed in whatever I would like to do. My setbacks have been of my own making and mistakes I have made along the way. I am blessed to be living in the greatest country in the world where opportunities are there if you want to try. ","2","3","6","6","7","1","2","2","2","","","58","Blue","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong",""
"VR515wd","0","100","171","1","1","4","14","Sometimes I feel left behind in terms of wealth.  We are doing well but there are people that have invested well and are very wealthy.  I feel left behind by some of those people honestly.  But I'm grateful for what I have and don't complain at all.","4","5","7","7","7","1","1","1","5","","","53","blue","","woman","White","","","","","","","","Over $200,000","GED","Republican","","","Strong",""
"QS533iy","0","100","127","1","1","4","0","I do not feel behind at all and I don't understand why I would. I have the same opportunities as everyone else","1","1","7","4","4","4","1","5","4","","","53","red","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong",""
"ZG925ys","0","100","184","1","1","4","28","I was raised by a lower class family. I did not grow up with a college fund, I was never given a car by my family, wedding funds, or help with down payments for a home. I had to rely on myself to get myself where I am today. I feel like others have been given a lot more of a head start in life. ","4","3","5","5","6","6","6","6","6","","","33","Blue","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong",""
"OQ499jg","0","100","131","1","1","4","85","I feel like I am discriminated for being a man. There's no interest that represents me out there. Even TV shows think I'm stupid and incompetent (see dumb husband commercials). Universities hate me (see college enrollment rates by gender). The entire world hates me for existing.","4","5","7","7","4","1","2","5","1","","","39","Blue","","man","","","","Asian","","","","","$60,001-$80,000",NA,"Republican","","","Not very strong",""
"HY211wz","0","100","164","1","1","4","90","In our society there is always a hierarchy or top corporate people who are advanced and ahead while people at the bottom are at disadvantage quite often. I relate to being disadvantaged therefore I feel left behind but that is why hard work and dedication goes far.","6","2","2","2","1","6","1","1","6","","","26","blue","","woman","","","Black or African American","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Republican"
"NS037od","0","100","116","1","1","4","10","I am a person of color and there's inherent issues that come with it that make me feel out of the loop. But I'm also privileged in other ways so I'm not completely left behind","6","6","4","1","1","6","5","2","7","","","36","Orange","","woman","","","","Asian","","","","","Over $200,000","PHD","Democrat","","Strong","",""
"QZ247sn","0","100","141","1","1","4","62","The main reason is that I need to get a better job and build wealth for the future. Get a wife and house and children and all that, but it begins with getting a decent job.","3","3","5","5","5","3","3","5","3","","","30","red","","man","","","","Asian","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Republican"
"OV225ab","0","100","130","1","1","4","15","I feel like I have gotten the things in life that I want, but I feel like it took me a lot longer to get them than it should have. So, I feel somewhat left behind even if I got to where I needed to be if that makes sense. ","5","6","6","6","6","2","1","5","1","","","38","Green","","man","White","","","","","","","","$180,001-$200,000","MA","Republican","","","Strong",""
"SD242ab","0","100","128","1","1","4","64","I just feel like I'm not making enough money, I'm not doing enough by not starting a family (I don't want kids) when all of my other friends are having kids, I still struggle with money, i still want to do things that are childish. ","4","3","1","1","2","5","4","4","5","non binary","","33","red","",NA,"White","","","","","","","","$100,001-$120,000","2yearColl","Democrat","","Strong","",""
"WF321ea","0","100","172","1","1","4","75","Because I have not achieved similar things that others in my age-range have achieved. While everyone else is having kids, getting married, buying their first house, etc. I'm just doing the same things I was doing back when I was in my early twenties.","3","4","5","7","6","1","1","3","3","","","28","White","Good luck with your research!","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"FV183bb","0","100","145","1","1","4","30","Sometimes I feel like I’m not where I should be in life. And that I am not as financially set as I should be.","2","6","4","6","6","1","1","1","5","","","42","Orange ","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong",""
"JA179ax","0","100","161","1","1","4","61","I sometimes feel like my peers are advancing while I am not. Given technology and how fast things are changing, I worry I may be a bit left behind.","3","5","5","5","5","4","2","5","2","","","31","blue","","man","White","","","","","","","","$100,001-$120,000","MA","No preference","","","","Closer to Republican"
"BX781le","0","100","251","1","1","4","40","Technology is advancing so quickly that one can certainly feel left behind especially the older generations.","4","6","7","7","6","1","1","1","3","","","68","purple","","woman","White","","","","","","","","$100,001-$120,000","GED","Republican","","","Strong",""
"EM055qv","0","100","121","1","1","4","0","I don't feel left behind at all. I work hard for what I earn and have always tried to improve my standing in the world. I don't rely on others to ""carry me forward"" so I can't be left behind. What happens to me is up to me.","5","6","5","1","7","7","6","7","7","","","42","green","I thought this was interesting","man","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong",""
"KF132mt","0","100","252","1","1","4","5","I honestly cannot think of any way I could be left behind.  I set goals and work hard to accomplish them.  My life is not perfect but I'm pretty satisfied where i am and have goals to progress further.  ","4","6","3","3","4","5","5","3","5","","","54","blue","","man","White","","","","","","","","$160,001-$180,000","MA","Democrat","","Not very strong","",""
"NS344pl","0","100","217","1","1","4","81","I can't afford the latest gadgets and cars. I drive an old car and don't have smart appliances. I feel like I'm falling behind on the modern lifestyle. ","4","7","6","7","7","1","3","6","1","","","51","red","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong",""
"UJ700kp","0","100","164","1","1","4","59","I had never stayed on the same track as most peers when it came to furthering education and job prospects. As a result, I feel behind financially ","3","4","2","2","2","5","3","1","5","","","34","green","","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Independent","","","","Neither"
"TF770kj","0","100","125","1","1","4","44","I feel a little left behind due to the choices I have made in my life.  But not to a great extent. There are others that are probably feeling this more. ","4","5","4","5","4","4","2","4","4","","","64","green","","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Independent","","","","Neither"
"LU555hy","0","100","107","1","1","4","53","I feel left behind in the career and wage earning walk of life. I just feel like I should be earning and doing more with my life. It's pretty stressful to be honest and sometimes I just feel like i'm not really making much progress towards my goals. ","4","4","1","3","1","4","4","2","4","","","34","blue","","man","White","","","","","","","","$0-$20,000","GED","Democrat","","Not very strong","",""
"YZ699kq","0","100","241","1","1","4","60","I feel it's very difficult to get employed, it takes so many resources just for a minimal job that doesn't pay nearly as much as you need it to.","2","5","5","7","7","1","1","2","1","","","26","Green","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"DJ501nh","0","100","220","1","1","4","20","I feel left behind because of the healthcare industry, specifically the ridiculous costs. Health insurance is incredibly expensive, and on top of that many times it does not even pay for what you need it to pay for. There is obviously some incredibly fishy things going on in healthcare and health insurance, and I feel like this is a pretty specifically U.S. problem that is often ignored because of the large amount of money the industry has to lobby and influence politicians.","4","3","1","2","2","3","2","1","6","","","33","Grey","Everything worked as intended.","man","White","","","","","","","","$80,001-$100,000","2yearColl","Democrat","","Not very strong","",""
"TL935ko","0","100","183","1","1","4","25","I am fortunate to be where I am but everything is becoming more expensive and it doesn't show any sign of slowing down. Combine this with the creep of technology which will automate a lot and I don't see a future where the average person can earn a good living and live an enjoyable life, similar to the one I currently have.","4","5","3","3","2","3","2","3","3","","","41","Blue","","man","White","","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Not very strong","",""
"GW484yw","0","100","168","1","1","4","18","I felt left behind growing up as a foster kid. I do not feel left behind now. I wasnt afforded the same oppurtunities or clothes growing up. Life is beautiful.","5","1","3","1","7","7","6","2","5","","","34","blue","","man","White","","","Asian","","","","","$80,001-$100,000","MA","Democrat","","Strong","",""
"YM811wt","0","100","178","1","1","4","57","I feel behind because it seems like the economic situation is hard for people in the lower middle class. I also feel left behind because older generations seem to have it slightly better than I do. I feel like I should be further along in life sometimes. Or that I thought I would have made it further by now. Thanks.","1","7","5","3","2","2","1","5","2","","","42","Blue","n/a","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"YB291ss","0","100","366","1","1","4","28","I feel left behind when it comes to being about to find affordable housing for my family. Rent is unrealistically high and buying a home is so complicated and expensive. ","3","5","1","2","2","5","","","","","","33","Brown","","woman","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Not very strong","",""
"XY767ru","0","100","165","1","1","4","46","I feel a bit left behind in that I am in my mid 30s and I am still unmarried and childless. Seemingly most of my peers are married and raising young children, while I am still navigating the hellscape of modern dating. In this way, I feel hopelessly left behind.","3","2","4","7","3","1","1","2","1","","","35","Red","","man","","","","Asian","","","","","$120,001-$140,000","MA","Republican","","","Not very strong",""
"ER575jg","0","100","338","1","1","4","75","It sometimes feels if I have been left out of a large amount of things. I feel out of place. Like I belong to a different era. The world is rapidly changing and not for the good. Too many weird ideas being foced upon people by the small, vocal minority.","3","7","6","3","6","2","1","4","1","","","68","red","","man","White","","","","American Indian or Alaska Native","","","","$0-$20,000","GED","Republican","","","Not very strong",""
"TK193sf","0","100","183","1","1","4","40","I feel that the elite are taking from everyone and doing all they can to leave us behind. The current administration is leaving everyone behind they can while filling their coffers. People are becoming more hateful due to the administration. They are purposely destroying our economy to make us poorer. ","3","1","1","1","1","6","7","2","7","","","41","Green","I hope you collect the data needed to complete your research. ","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Not very strong","",""
